Feature,Coefficient
DebtToAssets,1.250846895648397
Return_1Y,-1.247029785711026
ROA_Lag1,1.1969648201239855
Volatility_1Y,1.1485844911769256
Slope_Leverage,0.7333973389757843
ROA,-0.6169404272190763
NetMargin,0.5821328905504018
OCF_to_Debt,-0.4042458802500862
O_Score,0.3836879290650968
CurrentRatio,0.28690819695591463
EBITDAMargin,0.2737640093914006
DebtToEquity,0.2470650720635504
DE_Lag1,-0.19835622866488048
Z_Score,0.029141761999744054
InterestCoverage,-0.02537882436902845
MarketCap_to_Assets,-0.008131576827686468
